index,name,Glass,Shake,Stir,Float,Frost,Blend,Build,Inst_sum,Gin,Liqueur,Juice,Cordial,Brandy,Rum,Whisky,Vodka,Wine,Beer,Soft Drink,Flower,Garnish,Milk,Cream,Syrup,Rimming,Sum
1,A1,Cocktail glass,1,0,0,0,0,0,1,2.625,1.5,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,4.687
2,ABC,Shot glass,0,0,0,0,0,0,0,0,0.334,0,0,0.334,0,0,0,0,0,0,0,0,0,0,0.00,0,0.668
3,Ace,Martini Glass,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.5,0.75,0,5
4,ACID,Shot glass,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.00,0,2
5,Adam,Cocktail glass,1,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0.17,0,3.167
6,AT&T,Highball Glass,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0.00,0,6
7,A. J.,Cocktail glass,1,0,0,0,0,0,1,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,2.5
8,Affair,Highball glass,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,4
9,Apello,Collins Glass,0,1,0,0,0,0,1,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,1.01
10,Avalon,Highball glass,0,1,0,0,0,0,1,0,1,1.5,0,0,0,0,3,0,0,0,0,0,0,0,0.00,0,5.5
11,Abilene,Highball glass,0,1,0,0,0,0,1,0,0,3,0,0,1.5,0,0,0,0,0,0,0,0,0,0.00,0,4.5
12,Addison,Martini Glass,1,0,0,0,0,0,1,2.25,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0.00,0,4.5
13,Almeria,Cocktail glass,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0.00,0,3
14,Acapulco,Old-fashioned glass,1,0,0,0,0,0,1,0,0.25,0.5,0,0,1.5,0,0,0,0,0,1,0,0,0,0.00,0,3.25
15,Affinity,Cocktail glass,0,1,0,0,0,0,1,0,0.04,0,0,0,0,1.5,0,1,0,0,0,0,0,0,0.00,0,2.54
16,Applecar,Cocktail glass,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,3
17,Aviation,Cocktail glass,1,0,0,0,0,0,1,1.521,0.5,0.508,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,2.529
18,Addington,Cocktail glass,1,0,0,0,0,0,1,0,0,0,0.1,0,0,0,0,1.5,0,0,0,0,0,0,0.00,0,1.6
19,After sex,Highball glass,0,0,0,0,0,0,0,0,0.338,0,0,0,0,0,0.676,0,0,0,0,0,0,0,0.00,0,1.014
20,Afterglow,Highball Glass,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1.00,0,5
21,Afternoon,Collins Glass,0,0,0,0,0,1,1,0,0.507,0,1.352,0,0,0,0,0,0,0,0,0,0,0,0.00,0,1.859
22,Alexander,Cocktail glass,1,0,0,0,0,0,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0.00,0,3
23,Algonquin,Cocktail glass,1,0,0,0,0,0,1,0,0,1,0,0,0,1.5,0,1,0,0,0,0,0,0,0.00,0,3.5
24,Allegheny,Cocktail glass,1,0,0,0,0,0,1,0,0,0.25,0,0.25,0,1,0,1,0,0,0,0,0,0,0.00,0,2.5
25,B-52,Shot glass,0,1,0,0,0,0,1,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.25
26,B-53,Collins Glass,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.45
27,Bijou,Cocktail glass,0,1,0,0,0,0,1,1,1.02,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00,0,3.02
28,Boxcar,Whiskey sour glass,1,0,0,0,0,0,1,1.5,1,0.167,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,2.754
29,Big Red,Shot glass,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.00,0,1
30,Bellini,Champagne Flute,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0.00,0,7
31,Bramble,Old-Fashioned glass,0,1,0,0,0,1,2,1.352,0.507,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,2.197
32,Balmoral,Cocktail glass,0,1,0,0,0,0,1,0,0,0,0,0,0,1.5,0,0.5,0,0,0,0,0,0,0.00,0,2
33,Bluebird,Cocktail glass,0,1,0,0,0,0,1,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,2
34,Brooklyn,Cocktail glass,0,1,0,0,0,0,1,0,0.31,0,0,0,0,2,0,1,0,0,0,0,0,0,0.00,0,3.31
35,Bora Bora,Highball glass,1,0,0,0,1,0,2,0,0,0.507,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0.845
36,Boomerang,Cocktail glass,0,1,0,0,0,0,1,2,0.084,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00,0,3.084
37,Barracuda,Margarita glass,1,0,0,0,0,0,1,0,0.507,0.02,0,0,1.521,0,0,0.1,0,0,0,0,0,0,0.00,0,2.148
38,Brigadier,Coupe Glass,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,1
39,Broadside,Highball glass,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.75,0,0,0,0,0,0,0,0,0.00,0,2.25
40,Buccaneer,Beer pilsner,0,1,0,0,0,0,1,0,0,0,0,0,1.5,0,0,0,1,0,0,0,0,0,0.00,0,2.5
41,Brain Fart,Punch bowl,0,0,0,0,0,0,0,0,0,10,0,0,16,0,20,0,0,67,0,0,0,0,0.00,0,113
42,Blackthorn,Cocktail glass,0,1,0,0,0,0,1,0,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00,0,2.5
43,Bob Marley,Shot glass,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.00,0,1
44,Bible Belt,Highball glass,0,0,0,0,0,0,0,0,0.5,0.42,0,0,0,0,0,0,0,2,0,0,0,0,0.00,0,2.92
45,Bubble Gum,Shot glass,0,0,0,0,0,0,0,0,0.5,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0.00,0,1
46,Bumble Bee,Shot glass,0,0,0,0,0,0,0,0,0.334,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.334
47,Baby Eskimo,Collins Glass,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0.00,0,10
48,Boston Sour,Whiskey sour glass,1,0,0,0,1,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0.00,0,3
49,Bahama Mama,Highball glass,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,1.00,0,6
50,Casino,Cocktail glass,1,0,0,0,0,0,1,2,0.06,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,2.47
51,Cafe Savoy,Coffee mug,0,1,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.00,0,1
52,Cream Soda,Highball glass,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.5
53,Cuba Libra,Highball glass,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,1,0,0,0,0,0.00,0,2
54,Cherry Rum,Cocktail glass,1,0,0,0,0,0,1,0,0.25,0,0,0,1.25,0,0,0,0,0,0,0,0,0.5,0.00,0,2
55,Cuba Libre,Highball glass,0,0,0,0,0,1,1,0,0,0.5,0,0,2,0,0,0,0,0,0,0,0,0,0.00,0,2.5
56,Corn n Oil,Old-fashioned glass,0,1,1,0,0,0,2,0,0.04,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0.33,0,1.874
57,Citrus Coke,Highball Glass,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0.00,0,3
58,Casa Blanca,Cocktail glass,1,0,0,0,0,0,1,0,0.25,0.25,0,0,2,0,0,0,0,0,0,0,0,0,0.00,0,2.5
59,Clover Club,Cocktail glass,1,0,0,0,0,0,1,1.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,2.334
60,Caipirissima,Collins Glass,0,0,0,0,0,0,0,0,0,2,0,0,2.5,0,0,0,0,0,0,0,0,0,0.00,0,4.5
61,Campari Beer,Beer mug,0,0,0,0,0,0,0,0,0.507,0,0,0,0,0,0,0,16,0,0,0,0,0,0.00,0,16.507
62,Chicago Fizz,Highball glass,1,1,0,0,0,0,2,0,0,0.5,0,0,1,0,0,1,0,0,0,0,0,0,0.00,0,2.5
63,Cosmopolitan,Cocktail glass,1,0,0,0,0,0,1,0,0.25,2,0,0,0,0,1.25,0,0,0,0,0,0,0,0.00,0,3.5
64,Coffee-Vodka,Collins Glass,1,1,0,0,0,0,2,0,0,0,20,0,0,0,12,0,0,0,0,0,0,0,0.00,0,32
65,Casino Royale,Whiskey sour glass,1,0,0,0,0,0,1,2,1.9,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,4.4
66,Chocolate Milk,Shot Glass,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.00,0,0.77
67,Clove Cocktail,Cocktail glass,0,1,0,0,0,0,1,0,0.5,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0.00,0,2
68,Coffee Liqueur,Collins Glass,0,0,0,0,0,0,0,0,0,0,25,0,0,0,32,0,0,0,0,0,0,0,0.00,0,57
69,Coke and Drops,Cocktail glass,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,3.381,0,0,0,0,0.00,0,3.531
70,Chocolate Drink,Coffee mug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.3,0,0.00,0,25.3
71,Cranberry Punch,Punch Bowl,0,1,0,0,0,0,1,0,0,32,0,0,0,0,0,0,0,64,0,0,0,0,0.00,0,96
72,Derby,Cocktail glass,0,1,0,0,0,0,1,2.028,0.04,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00,0,3.068
73,Diesel,Pint glass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,0,0,0,0.00,0,24
74,Daiquiri,Cocktail glass,1,0,0,0,0,0,1,0,0,0.5,0,0,1.5,0,0,0,0,0,0,0,0,0,0.00,0,2
75,Danbooka,Coffee Mug,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.00,0,3
76,Dragonfly,Highball glass,0,1,0,0,0,0,1,1.5,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0.00,0,6.5
77,Dry Martini,Cocktail glass,0,1,0,0,0,0,1,1.667,0,0,0,0,0,0,0,0.334,0,0,0,0,0,0,0.00,0,2.001
78,Dry Rob Roy,Cocktail glass,0,1,0,0,0,0,1,0,0,0,0,0,0,2.5,0,0.25,0,0,0,0,0,0,0.00,0,2.75
79,Dirty Martini,Cocktail glass,1,0,0,0,0,0,1,0,0,0.21,0,0,0,0,2.4,0.5,0,0,0,0,0,0,0.00,0,3.11
80,Darkwood Sling,Cocktail glass,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0,3
81,Dark and Stormy,Highball glass,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,3.39,0,0,0,0,0.00,0,5.09
82,Duchamp's Punch,Old-fashioned glass,1,0,0,0,0,0,1,0,0.55,1.7,0,1.7,0,0,0,0,0,0,1,0,0,0,0.00,0,4.95
83,Damned if you do,Shot glass,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0.00,0,0.75
84,Dubonnet Cocktail,Cocktail glass,0,1,0,0,0,0,1,0.75,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,2.25
85,Drinking Chocolate,Coffee mug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0.00,0,8
86,Egg Cream,Coffee mug,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,2.00,0,14
87,Egg Nog #4,Punch bowl,0,1,0,0,1,0,2,0,0,0,0,0,4,4,0,0,0,0,0,0,16,8,0.00,1,33
88,Espresso Martini,Cocktail glass,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0.02,0,2.72
89,Espresso Rumtini,Cocktail glass,0,0,0,0,0,0,0,0,0,0,1.5,0,1.5,0,0,0,0,0,0,0,0,0,0.75,0,3.75
90,Egg Nog - Healthy,Collins Glass,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0,0,0,0,0,0,0,6,0,0.00,0,6.167
91,English Rose Cocktail,Cocktail glass,1,0,0,0,0,0,1,1.5,0,0.042,0,0.75,0,0,0,0.75,0,0,0,0,0,0,0.17,0,3.209
92,Egg-Nog - Classic Cooked,Pitcher,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0.00,1,33
93,Empell√≥n Cocina's Fat-Washed Mezcal,Beer Glass,1,1,0,0,0,0,2,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,2.5
94,Fros√©,Cocktail glass,1,1,0,1,1,0,4,0,0,10.5,0,0,0,0,0,25.36,0,0,0,0,0,0,0.00,0,35.86
95,Frapp√©,Highball Glass,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0.00,0,8
96,Foxy Lady,Cocktail glass,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.00,0,3
97,French 75,Collins glass,1,1,0,0,0,0,2,1.5,0,2.5,0,0,0,0,0,4,0,0,0,0,0,0,0.00,0,8
98,Figgy Thyme,Highball glass,1,0,0,0,0,0,1,0,0.004,3,0,0,0,0,2,0,0,0.1,1,0,0,0,0.00,0,6.104
99,Frisco Sour,Whiskey sour glass,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0.00,0,3
100,Fruit Shake,Highball Glass,0,0,0,0,1,0,1,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,8,0.00,0,12.5
101,Fruit Cooler,Highball Glass,0,0,0,0,0,0,0,0,0,1,33.84,0,0,0,0,0,0,0,0,0,0,0,0.00,0,1
102,Freddy Kruger,Shot glass,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.00,0,1
103,Funk and Soul,Collins glass,0,0,0,0,0,0,0,0,0,0.08,0.1,0,3,0,0,0,0,0,0,0,0,0,0.00,0,3.18
104,Fuzzy Asshole,Coffee mug,0,1,0,0,0,0,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.00,0,1
105,French Martini,Cocktail glass,1,0,0,0,0,0,1,0,0.507,0.508,0,0,0,0,1.521,0,0,0,0,0,0,0,0.00,0,2.536
106,French Negroni,Martini Glass,1,1,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.00,0,3
107,Fahrenheit 5000,Shot glass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.00,0,0.5
108,Flying Dutchman,Old-fashioned glass,0,1,0,0,0,0,1,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,2.5
109,Frozen Daiquiri,Champagne flute,0,0,0,0,1,0,1,0,0.5,1.5,0,0,1.5,0,0,0,0,0,0,0,0,0,0.00,0,3.5
110,Fruit Flip-Flop,Highball Glass,0,0,0,0,1,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0.00,0,16
111,Flying Scotchman,Cocktail glass,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.17,0,2.167
112,French Connection,Old-fashioned glass,0,1,0,0,0,0,1,0,0.75,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0.00,0,2.25
113,Flaming Dr. Pepper,Collins Glass,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0.00,0,5
114,Flaming Lamborghini,Cocktail glass,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,1
115,Flander's Flake-Out,Collins Glass,0,0,0,0,0,0,0,0,0.432,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0.00,0,1.632
116,Frozen Mint Daiquiri,Old-fashioned glass,0,0,0,0,1,0,1,0,0,0.5,0,0,2,0,0,0,0,0,1,0,0,0,0.00,0,3.5
117,Frozen Pineapple Daiquiri,Cocktail Glass,0,0,0,0,1,0,1,0,0,1,0,0,1.5,0,0,0,0,0,0,0,0,0,0.00,0,2.5
118,GG,Collins Glass,0,0,0,0,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,3.75
119,Gimlet,Martini Glass,1,0,0,0,0,0,1,2.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.50,0,4.5
120,Godchild,Champagne flute,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.00,0,3
121,Gin Fizz,Highball glass,1,0,0,0,0,0,1,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,2.5
122,Gin Sour,Whiskey sour glass,1,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,4
123,Gagliardo,Cocktail glass,1,0,0,0,0,0,1,0,1,3,0,0,0,0,5,0,0,0,0,0,0,0,1.00,0,10
124,Godmother,Old-fashioned glass,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0.00,0,2.25
125,Godfather,Old-fashioned glass,0,1,0,0,0,0,1,0,0.75,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0.00,0,2.25
126,Gluehwein,Irish coffee cup,0,0,0,0,0,0,0,0,0,0,4.226,0,0,0,0,33.814,0,0,0,0,0,0,0.00,0,38.04
127,Gin Tonic,Highball glass,0,0,0,0,0,0,0,1.352,0,0,0,0,0,0,0,0,0,3.381,0,0,0,0,0.00,0,4.733
128,Gin Toddy,Old-fashioned glass,0,1,0,0,0,0,1,2,0,0,0.167,0,0,0,0,0,0,0,0,0,0,0,0.00,0,2.167
129,Gin Smash,Old-fashioned glass,0,1,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.00,0,5
130,Gin Daisy,Old-fashioned glass,1,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,4.087
131,Gin Lemon,Highball glass,1,0,0,0,0,0,1,2.028,0,2.705,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,4.733
